,0
5088,10th Royal Hussars soldiers
9338,11th Hussars officers
9491,12 Hours of Reims drivers
7786,12 Hours of Sebring drivers
6033,125cc World Championship riders
993,14th/20th King's Hussars soldiers
10002,1869 births
369,1870 births
14709,1871 births
6973,1872 Cup referees
14064,1872 births
17172,1873 births
17898,1874 births
1258,1875 births
2508,1876 births
12611,1877 births
2540,1878 births
1457,1879 births
4917,1880 births
12978,1881 births
13874,1882 births
17837,1883 births
17953,1884 births
16128,1885 births
12571,1886 births
16321,1887 births
5460,1888 births
6946,1889 births
11705,1890 births
18449,1890s births
9377,1891 births
17701,1892 births
9103,1893 births
11507,1894 births
4204,1895 births
699,1895 establishments in the United Kingdom
13699,1896 births
7566,1897 births
11513,1898 births
13964,1899 births
5727,19 Recordings artists
8487,1900 births
8951,1900s births
18187,1901 births
10539,1902 births
2519,1903 births
1647,1904 births
9296,1905 births
17677,1906 births
10812,1907 births
6015,1908 births
4548,1909 births
5710,1910 births
14033,1910s births
7081,1911 births
16900,1912 births
15018,1913 births
14224,1914 births
8246,1915 births
16104,1916 births
5704,1917 births
16830,1918 births
12422,1919 births
9794,1920 births
15374,1920s births
9062,1921 births
5205,1922 births
5261,1923 births
1644,1924 births
10698,1925 births
17350,1926 births
10678,1927 births
17580,1928 births
8566,1929 births
11846,1930 births
14657,1931 births
11152,1932 births
14693,1933 births
5256,1934 births
1601,1935 births
16708,1936 births
1365,1937 births
1031,1938 births
11991,1939 births
2055,1940 births
50,1940s births
9508,1941 births
2147,1942 births
6140,1943 births
8954,1943 deaths
17220,1944 births
1636,1944 deaths
12223,1945 births
14983,1945 deaths
9841,1946 births
7403,1947 births
6222,1947 deaths
2896,1948 births
1517,1948 deaths
2185,1949 births
2085,1950 births
15393,1950s births
17014,1950s fashion
11131,1951 births
18188,1951 deaths
9162,1952 births
15571,1952 deaths
715,1953 births
13439,1953 deaths
9490,1954 births
7195,1954 deaths
3756,1955 births
13185,1956 births
777,1956 deaths
6593,1957 births
729,1957 deaths
17203,1958 FIFA World Cup players
8153,1958 births
13337,1958 deaths
577,1959 births
17860,1959 deaths
15566,1960 births
13121,1960 deaths
5638,1960s fashion
8176,1961 births
18344,1961 deaths
753,1962 FIFA World Cup players
11660,1962 births
1155,1962 deaths
4333,1963 births
4024,1963 deaths
726,1963 in radio
4872,1964 America's Cup sailors
17609,1964 births
7273,1964 deaths
8474,1965 births
8526,1965 deaths
16033,1965 suicides
11986,1966 FIFA World Cup players
3636,1966 births
1229,1966 deaths
14117,1967 births
11715,1967 deaths
7212,1968 births
620,1968 deaths
11329,1968 suicides
2775,1969 births
1618,1969 deaths
7189,1970 FIFA World Cup players
1170,1970 births
2872,1970 crimes in Uruguay
8060,1970 deaths
6525,1970s fashion
13366,1971 births
11700,1971 deaths
18297,1972 births
3608,1972 deaths
2039,1973 births
17227,1973 deaths
11888,1974 births
10075,1974 deaths
15817,1975 Australian constitutional crisis
13765,1975 births
17480,1975 deaths
18316,1975 suicides
15216,1976 births
6006,1976 deaths
15999,1976 suicides
14206,1977 births
18340,1977 deaths
9301,1978 births
1810,1978 deaths
18743,1979 births
13651,1979 deaths
8004,1980 births
9258,1980 deaths
12346,1980 suicides
7321,1980s fashion
13554,1980s missing person cases
11037,1981 deaths
1590,1982 FIFA World Cup players
7792,1982 births
14940,1982 deaths
17882,1982 establishments in France
10202,1983 births
14250,1983 deaths
10622,1984 births
8559,1984 deaths
13432,1985 births
2592,1985 deaths
1119,1985 establishments in the United Kingdom
3923,1986 FIFA World Cup managers
3543,1986 FIFA World Cup players
13246,1986 births
