,episode_ref,date,castaway_ref,name,std_name,gender,profession,country_of_citizenship,place_of_birth,country_of_birth,date_of_birth,favTrack,luxury,book,wiki_link,link,year,wiki_id,disability_status
362,2954,1957-12-09,852,Eric Sykes,eric sykes,male,"['screenwriter', 'writer', 'author', 'creator', 'professional']",United Kingdom,Oldham,United Kingdom,1923-05-04,NA by NA,,,https://en.wikipedia.org/wiki/Eric_Sykes,https://www.bbc.co.uk/programmes/p009y8l4,1957,Eric_Sykes,True
562,2608,1961-11-06,2893,Wee Georgie Wood,wee georgie wood,male,"['comedian', 'actor', 'performing artist', 'artist', 'professional']",,,,1894-12-17,Private Lives Act 1 by Noel Coward & Gertrude Lawrence,Writing materials,Memoirs of a Midget - Walter de la Mare,https://en.wikipedia.org/wiki/Wee_Georgie_Wood,https://www.bbc.co.uk/programmes/p009y6ck,1961,Wee_Georgie_Wood,True
613,2558,1962-11-05,985,George Shearing,george shearing,male,"['composer', 'musician', 'artist', 'professional']",United Kingdom,London,Roman Empire,1919-08-13,Cantata No. 54: Widerstehe doch der Sünde by Johann Sebastian Bach,Metal construction set,Masterman Ready - Frederick Marryat,https://en.wikipedia.org/wiki/George_Shearing,https://www.bbc.co.uk/programmes/p009y5t1,1962,George_Shearing,True
769,2396,1965-12-27,1850,Michael Flanders,michael flanders,male,"['actor', 'performing artist', 'artist', 'professional']",United Kingdom,London,Roman Empire,1922-03-01,Sanctus / Agnus Dei from Missa Criolla by Ariel Ramírez,Horn,Blank book and pencils,https://en.wikipedia.org/wiki/Michael_Flanders,https://www.bbc.co.uk/programmes/p009y3r8,1965,Michael_Flanders,True
1082,2080,1972-02-07,603,David Hockney,david hockney,male,"['painter', 'visual artist', 'artist', 'professional']",England,Bradford,United Kingdom,1937-07-09,Liebestod (from Tristan und Isolde) by NA,"Paper, pencils and a battery-operated sharpener",Route 69 - Floyd Carter,https://en.wikipedia.org/wiki/David_Hockney,https://www.bbc.co.uk/programmes/p009nc50,1972,David_Hockney,True
1155,2007,1973-07-16,500,Colonel Sir Michael Ansell,michael ansell,male,"['equestrian', 'athlete', 'sportsperson']",,Curragh,Ireland,1905-03-26,"Fare Ye Well, Inniskilling by The Band of The Royal Corp of Transport",Knitting needles and wool,Blank paper and a typewriter,https://en.wikipedia.org/wiki/Michael_Ansell,https://www.bbc.co.uk/programmes/p009n8t9,1973,Michael_Ansell,True
1174,1988,1973-11-26,239,Barry Humphries,barry humphries,male,"['comedian', 'actor', 'performing artist', 'artist', 'professional']",Australia,Melbourne,Australia,1934-02-17,Shallow Brown by Percy Grainger,Painting materials,The collected works - Max Beerbohm,https://en.wikipedia.org/wiki/Barry_Humphries,https://www.bbc.co.uk/programmes/p009n8cn,1973,Barry_Humphries,True
1400,1762,1978-05-02,1183,Itzhak Perlman,itzhak perlman,male,"['violinist', 'instrumentalist', 'musician', 'artist', 'professional']",Israel,Jaffa,Mandatory Palestine,1945-08-31,Cantata No. 82: Ich habe genug by Johann Sebastian Bach,"Violin, strings and case",The Brothers Karamazov - Fyodor Dostoyevsky,https://en.wikipedia.org/wiki/Itzhak_Perlman,https://www.bbc.co.uk/programmes/p009mysv,1978,Itzhak_Perlman,True
1512,1648,1980-08-01,625,David Scott Blackhall,david scott blackhall,male,"['writer', 'author', 'creator', 'professional']",United Kingdom,Cirencester,United Kingdom,1910-01-01,Love Is here to stay (from Goldwyn Follies) by George Gershwin,Perkins Brailler and paper,The Oxford Book of English Verse,https://en.wikipedia.org/wiki/David_Scott_Blackhall,https://www.bbc.co.uk/programmes/p009mw1h,1980,David_Scott_Blackhall,True
1516,1644,1980-08-29,2824,Tristan Jones,tristan jones,male,"['author', 'creator', 'professional']",United Kingdom,Liverpool,United Kingdom,1924-05-08,1812 Overture by Peter Ilyich Tchaikovsky,12 foot by 8 foot Union Jack,Modern wooden yacht construction,https://en.wikipedia.org/wiki/Tristan_Jones,https://www.bbc.co.uk/programmes/p009mvz0,1980,Tristan_Jones,True
1555,1603,1981-06-19,2285,Richard Leakey,richard leakey,male,"['anthropologist', 'social scientist', 'scientist', 'researcher', 'creator', 'professional']",Kenya,Nairobi,Kenya,1944-12-19,Solo Whale by Frank Watlington,Pillow,Touch The Earth - T C McLuhan,https://en.wikipedia.org/wiki/Richard_Leakey,https://www.bbc.co.uk/programmes/p009mv29,1981,Richard_Leakey,True
1578,2833,1981-12-04,2548,Sir Douglas Bader,douglas bader,male,"['cricketer', 'athlete', 'sportsperson']",United Kingdom,London,Roman Empire,1910-02-21,NA by NA,Sand iron and golf balls,Complete works - Lord Tennyson,https://en.wikipedia.org/wiki/Douglas_Bader,https://www.bbc.co.uk/programmes/p009mthn,1981,Douglas_Bader,True
1666,1490,1983-10-07,2374,Rosemary Sutcliff,rosemary sutcliff,female,"['writer', 'author', 'creator', 'professional']",United Kingdom,East Clandon,United Kingdom,1920-12-14,The Lark Ascending by Ralph Vaughan Williams,Flowers delivered daily by bottle,Kim - Rudyard Kipling,https://en.wikipedia.org/wiki/Rosemary_Sutcliff,https://www.bbc.co.uk/programmes/p009mj4y,1983,Rosemary_Sutcliff,True
1697,1466,1984-04-13,459,Christopher Reeve,christopher reeve,male,"['television actor', 'actor', 'performing artist', 'artist', 'professional']",United States of America,New York City,United States of America,1952-09-25,Imagine by NA,Scuba-diving equipment,The Inner Reality - Paul Brunton,https://en.wikipedia.org/wiki/Christopher_Reeve,https://www.bbc.co.uk/programmes/p009mhk0,1984,Christopher_Reeve,True
1711,1452,1984-08-31,2848,Ved Mehta,ved mehta,male,"['writer', 'author', 'creator', 'professional']",India,Lahore,Pakistan,1934-03-21,"String Quartet No.14 in C sharp minor, Op. 131 - 7th movement by Ludwig van Beethoven",,,https://en.wikipedia.org/wiki/Ved_Mehta,https://www.bbc.co.uk/programmes/p009mh8b,1984,Ved_Mehta,True
1738,1429,1985-03-01,154,Anthony Hopkins,anthony hopkins,male,"['film director', 'director', 'artist', 'professional']",United States of America,Port Talbot,United Kingdom,1937-12-31,Myfanwy by Treorchy Male Choir,Piano,The Great Gatsby - F. Scott Fitzgerald,https://en.wikipedia.org/wiki/Anthony_Hopkins,https://www.bbc.co.uk/programmes/p009mn5s,1985,Anthony_Hopkins,True
1764,1403,1986-05-30,331,Bobby Robson,bobby robson,male,"['association football player', 'athlete', 'sportsperson']",United Kingdom,County Durham,United Kingdom,1933-02-18,Try A Little Tenderness by Frank Sinatra,Set of golf clubs and an endless supply of balls,Thesaurus - Roget,https://en.wikipedia.org/wiki/Bobby_Robson,https://www.bbc.co.uk/programmes/p009mmml,1986,Bobby_Robson,True
1841,1327,1988-03-04,2685,Stephanie Beacham,stephanie beacham,female,"['actor', 'performing artist', 'artist', 'professional']",United Kingdom,Barnet,United Kingdom,1947-02-28,Misa Criolla by Ariel Ramírez,Photograph of children,The Ascent of Man - Dr Jacob Bronowski,https://en.wikipedia.org/wiki/Stephanie_Beacham,https://www.bbc.co.uk/programmes/p009mgcr,1988,Stephanie_Beacham,True
